Studio,City,ZIP Code,Location
Set and Flow,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Modo Yoga LA - La Brea,Los Angeles,90036.0,"34.06892065300008, -118.35080783799998"
Red Diamond Yoga,Los Angeles,90034.0,"34.028290507000065, -118.40269589399998"
One Down Dog,Los Angeles,90029.0,"34.08989399500007, -118.29490934199998"
The Raven Spa,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Liberation Yoga,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
Sanctuary Fitness - DTLA Arts District,Los Angeles,90012.0,"34.05948330100006, -118.24204800499996"
LA Boulders,Los Angeles,90021.0,"34.030124099000034, -118.24177861499999"
Evolve Dance Studio,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
Yoga Circle Downtown,Los Angeles,90013.0,"34.04602247400004, -118.24624962599995"
Siesta Yoga,Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
Psycho,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
dr pilates,Los Angeles,90004.0,"34.075720587000035, -118.30301712299996"
Rise Hot Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Heartbeat House,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Wanderlust Hollywood,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Sweatheory,Los Angeles,90028.0,"34.10072174800007, -118.32821815499994"
Peace Yoga Gallery,Los Angeles,90015.0,"34.04012195700005, -118.26498963499995"
Urban 728 Yoga,Los Angeles,90038.0,"34.088981543000045, -118.32483773999996"
Modo Yoga LA - East,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
Wellborn Lifestyles & Doula Services,Van Nuys,91401.0,"34.181152145000055, -118.43482720999998"
Radha Yoga,Los Angeles,90018.0,"34.030771505000075, -118.31686899999994"
Namaste Highland Park,Los Angeles,90042.0,"34.11332226400003, -118.19142869099994"
Silverlake Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Yogala Echo Park,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
The Main Barre,Los Angeles,90013.0,"34.04602247400004, -118.24624962599995"
Sweat Yoga,Playa Vista,90094.0,"33.97293079200006, -118.42532902699998"
Dee Dussault - Ganja Yoga & Sex Coaching,Los Angeles,90008.0,"34.01097131500006, -118.34158773599995"
Sweat Yoga Little Tokyo,Los Angeles,90012.0,"34.05948330100006, -118.24204800499996"
Bikram Yoga,Los Angeles,90012.0,"34.05948330100006, -118.24204800499996"
Evoke Yoga,Los Angeles,90014.0,"34.04475373200006, -118.25273671899998"
Yoga Vibe,Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
One Down Dog,Los Angeles,90041.0,"34.13538185700003, -118.20684911599994"
The Bridge Mind Body Movement,Los Angeles,90021.0,"34.030124099000034, -118.24177861499999"
"Zen Wellness: Dr. Bobbi Jones, DC & Dr. Mary Ames Brown, DC",Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
Houston Heller- LMT,Los Angeles,90017.0,"34.05230100700004, -118.26338632699998"
The Sweat Spot,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
Yoga Bliss - Westchester,Los Angeles,90045.0,"33.961520807000056, -118.39344972199996"
Garth Hewitt,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
EVERYBODY,Los Angeles,90065.0,"34.10881214900007, -118.22766603699995"
Jun Chong Tae Kwon Do,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
AIR Aerial Fitness,Los Angeles,90048.0,"34.073161378000066, -118.37406665299994"
Doula Mellie,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
D&A Flying Yoga,Los Angeles,90010.0,"34.06139075900006, -118.30969974099997"
Soul Pump Fitness,Los Angeles,90025.0,"34.045183888000054, -118.45025632399995"
MOMS AT OM,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
Marti Maley,North Hollywood,91602.0,"34.15134106200003, -118.36907858599994"
Crenshaw Yoga & Dance,Los Angeles,90043.0,"33.986730529000056, -118.33290641499997"
BACH,Beverly Hills,90210.0,"34.08553160900004, -118.40426878599999"
Claire Thompson,Los Angeles,90065.0,"34.10881214900007, -118.22766603699995"
CrossFit Mindset,Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
Hot 8 Yoga,Los Angeles,90005.0,"34.05907052600003, -118.30301712299996"
Echo Park Boxing,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
The Tree South LA,Los Angeles,90047.0,"33.95687165100003, -118.30907840499998"
Still Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Samarasa Center,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
Fitmix Studio Atwater Village,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
Chloe Massage Spa,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
Yoga West,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
Nicole Doherty,Los Angeles,90035.0,"34.054282330000035, -118.38385594999994"
Nine Treasures Yoga,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
H2yOga,Los Angeles,90036.0,"34.06892065300008, -118.35080783799998"
Hot 8 Yoga,Beverly Hills,90211.0,"34.06566189900008, -118.38146619699995"
Cliffs of Id,Culver City,90232.0,"34.01970043100005, -118.39595678999996"
Miss Mermaid,Venice,90291.0,"33.99258325100004, -118.46637629399999"
Light on Lotus Yoga,Los Angeles,90066.0,"34.00215095400006, -118.42903966199998"
LaLaLå! Jivamukti Yoga Los Angeles,Los Angeles,90013.0,"34.04602247400004, -118.24624962599995"
Vrkira Yoga,Los Angeles,90016.0,"34.028881427000044, -118.35308896599997"
Mockingbird Yoga,Los Angeles,90041.0,"34.13538185700003, -118.20684911599994"
The Cycling Pigeon,Los Angeles,90041.0,"34.13538185700003, -118.20684911599994"
One Down Dog,Los Angeles,90026.0,"34.07687201300007, -118.26535895999996"
Moon Yogi Holistic Healing,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Aeriform Arts,Los Angeles,90038.0,"34.088981543000045, -118.32483773999996"
Yoga by Rony,West Hollywood,90069.0,"34.08940300900008, -118.37978902499998"
The Barboza Method,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Hiking Yoga,Los Angeles,90027.0,"34.10546214900006, -118.29236751399998"
Balance Work Yoga and Massage,Los Angeles,90019.0,"34.04884238300008, -118.33610868499994"
Brick Los Angeles,Los Angeles,90046.0,"34.097150154000076, -118.35826821299997"
Atwater Kundalini Yoga,Los Angeles,90039.0,"34.11160164200004, -118.26125727499999"
