Postal City 1,Location,Starbucks Count
Lakewood,"33.84871142900005, -118.11357922799999",
Winnetka,"34.208404020000046, -118.57593995299999",
Los Angeles,"33.94895070600006, -118.24697958699994",
Torrance,"33.88535286100006, -118.32659746799999",
West Hollywood,"34.08940300900008, -118.37978902499998",
Westlake Village,"34.15138016700007, -118.83569741699995",
Los Angeles,"34.03541197100003, -118.43217675599999",
West Hills,"34.20049176500004, -118.62922710099997",
Azusa,"34.12712200200008, -117.90620949499998",
Pasadena,"34.16700046200003, -118.12758752599996",
Lancaster,"34.688761758000055, -118.05928838399996",
San Fernando,"34.26212132300003, -118.46175755399997",
Alhambra,"34.07533388100006, -118.14430710699997",
West Covina,"34.06466254800006, -117.89769762999998",
Los Angeles,"34.05010243400005, -118.29268904499997",
Los Angeles,"34.030771505000075, -118.31686899999994",
Long Beach,"33.79831371000006, -118.15136774099994",
Long Beach,"33.77534166600003, -118.11346625799996",
Compton,"33.885730876000025, -118.23452680099996",
Mission Hills,"34.26784369500007, -118.46718880999998",
Glendale,"34.14431084300003, -118.25610844299996",
Los Angeles,"34.00349356000004, -118.28709702299994",
Tarzana,"34.16990292600008, -118.54048905299999",
Covina,"34.09123225600007, -117.85833622499996",
Los Angeles,"34.054282330000035, -118.38385594999994",
Glendale,"34.163611358000026, -118.26495921899999",
South El Monte,"34.05510353600005, -118.046996364",
Buena Park,"33.842780497000035, -118.01234928999997",
La Mirada,"33.90267205300006, -118.00708748799997",
Los Angeles,"33.961520807000056, -118.39344972199996",
Whittier,"33.97114064900006, -118.03505628799996",
Palmdale,"34.56282177300005, -118.03543864899996",
Santa Monica,"34.01760179300004, -118.49296772799994",
Pearblossom,"34.470473026000036, -117.89937914699999",
Granada Hills,"34.27480004900008, -118.50113633799998",
Los Angeles,"34.048564302000045, -118.21151999699998",
Lomita,"33.79380359500004, -118.31735998599999",
Redondo Beach,"33.87141408300005, -118.37072968799998",
Torrance,"33.82909372900008, -118.31420985699998",
Long Beach,"33.76935424900006, -118.184528823",
Duarte,"34.148373424000056, -117.96596635599997",
Inglewood,"33.939383004000035, -118.35812917199996",
