Studio,City,ZIP Code,Latitude,Longitude,Studio Count
Jupiter Soundscape,Walnut,91789,34.01633305,-117.8581668,1
Feeling Fit Fitness,Valley Village,91617,34.16486272,-118.4045165,1
Golden Monkey Healing,Valley Village,91607,34.16615319,-118.3993372,1
Juicy Yoga Noho,North Hollywood,91606,34.18673113,-118.3868062,1
YogiNest,Studio City,91604,34.14446292,-118.3942796,13
Electric Soul Yoga,Studio City,91604,34.14446292,-118.3942796,13
Up Flying Yoga,Studio City,91604,34.14446292,-118.3942796,13
The DEN Meditation,Studio City,91604,34.14446292,-118.3942796,13
Root 2 Rise Yoga,Studio City,91604,34.14446292,-118.3942796,13
Studio City Martial Arts,Studio City,91604,34.14446292,-118.3942796,13
Soulful Healing,Studio City,91604,34.14446292,-118.3942796,13
EsoTerra Fitness & Healing,Studio City,91604,34.14446292,-118.3942796,13
"Cory Nakamura, CMT",Studio City,91604,34.14446292,-118.3942796,13
YogaWorks Studio City,Studio City,91604,34.14446292,-118.3942796,13
Faith & Flow,Studio City,91604,34.14446292,-118.3942796,13
Yoga Tune Up,Studio City,91604,34.14446292,-118.3942796,13
Studio Hasiyat,Studio City,91604,34.14446292,-118.3942796,13
Marti Maley,North Hollywood,91602,34.15134106,-118.3690786,8
The Yogi Tree Center for Growth,North Hollywood,91602,34.15134106,-118.3690786,8
Shaolin American Self Defense Academy,North Hollywood,91602,34.15134106,-118.3690786,8
Shosha Yoga,North Hollywood,91602,34.15134106,-118.3690786,8
Light Leaders Yoga,North Hollywood,91602,34.15134106,-118.3690786,8
Sarah Yoga,North Hollywood,91602,34.15134106,-118.3690786,8
Doreen Rivera's - The Bodyful Mind,North Hollywood,91602,34.15134106,-118.3690786,8
Dubner Wellness Group,North Hollywood,91602,34.15134106,-118.3690786,8
Rooted Rasa,North Hollywood,91601,34.16713081,-118.3725285,3
Embodied by Safyra,North Hollywood,91601,34.16713081,-118.3725285,3
Yoga 108,North Hollywood,91601,34.16713081,-118.3725285,3
Body & Brain Yoga Tai Chi - Burbank,Burbank,91506,34.17111084,-118.3225783,1
A1 Pilates,Burbank,91505,34.16767394,-118.3444989,5
Yoga Galactica,Burbank,91505,34.16767394,-118.3444989,5
AE Wellness - Alexandra Ellis,Burbank,91505,34.16767394,-118.3444989,5
T5T Reiki,Burbank,91505,34.16767394,-118.3444989,5
Polish Your Star Fitness,Burbank,91505,34.16767394,-118.3444989,5
Pilates On Demand,Sherman Oaks,91423,34.15306169,-118.4329589,12
YAYA YOGA - It's a kids yoga adventure!,Sherman Oaks,91423,34.15306169,-118.4329589,12
Julia Carpenter Yoga & Reiki,Sherman Oaks,91423,34.15306169,-118.4329589,12
Wellborn Lifestyles,Sherman Oaks,91423,34.15306169,-118.4329589,12
Clean Prana,Sherman Oaks,91423,34.15306169,-118.4329589,12
Studio C Pilates & Fitness,Sherman Oaks,91423,34.15306169,-118.4329589,12
Yoga With Racquel,Sherman Oaks,91423,34.15306169,-118.4329589,12
CorePower Yoga,Sherman Oaks,91423,34.15306169,-118.4329589,12
Jaclyn Urban Luna Coaching,Sherman Oaks,91423,34.15306169,-118.4329589,12
Lila Yoga,Sherman Oaks,91423,34.15306169,-118.4329589,12
Bahia Shortlidge,Sherman Oaks,91423,34.15306169,-118.4329589,12
Rose Moran Mindful Movement,Sherman Oaks,91423,34.15306169,-118.4329589,12
5 Lion Fitness,Van Nuys,91411,34.17933159,-118.4579296,1
Wellborn Lifestyles & Doula Services,Van Nuys,91401,34.18115215,-118.4348272,2
Adi Shaktee,Van Nuys,91401,34.18115215,-118.4348272,2
OM Lotus,Tarzana,91356,34.16990293,-118.5404891,1
East Inspirations,Encino,91316,34.16673107,-118.5162961,2
LIfe Vibes Los Angeles,Encino,91316,34.16673107,-118.5162961,2
Womanhood,Agoura Hills,91301,34.14345053,-118.760116,1
Mary Rita Yoga,Glendale,91210,34.14431084,-118.2561084,1
Lilia Margaryan Dance Studio,Glendale,91205,34.13853199,-118.2438686,2
HAAS Wellness Center,Glendale,91205,34.13853199,-118.2438686,2
LA Fitness,Glendale,91204,34.13669405,-118.2594975,2
Naomi Zelin Yoga,Glendale,91204,34.13669405,-118.2594975,2
Sync Yoga + Cycle,Glendale,91203,34.15282271,-118.2613268,3
Bella Fitness,Glendale,91203,34.15282271,-118.2613268,3
Mind Body Soul Studio,Glendale,91203,34.15282271,-118.2613268,3
Hello Critter Goat Yoga,Glendale,91201,34.16917297,-118.2918157,2
Sheade Yoga,Glendale,91201,34.16917297,-118.2918157,2
Awareness Center,Pasadena,91107,34.15076318,-118.0922887,3
Heare,Pasadena,91107,34.15076318,-118.0922887,3
Basia Haridass Tacik,Pasadena,91107,34.15076318,-118.0922887,3
Conscious Compassion,Pasadena,91106,34.14286396,-118.1285,1
Breakthru Fitness,Pasadena,91101,34.14521026,-118.1383067,2
Kristina Nikols Wellness,Pasadena,91101,34.14521026,-118.1383067,2
Spiritual Heart Yoga Center,Montrose,91020,34.20996388,-118.230877,1
Infinite Presence - Kundalini Yoga & Holistic Healing,La Canada Flintridge,91011,34.20779137,-118.2029299,1
Grace and Gratitude Life,Long Beach,90814,33.77143116,-118.1523584,1
Go Inward,Long Beach,90803,33.76151151,-118.1374898,3
Alana Weinberg,Long Beach,90803,33.76151151,-118.1374898,3
"Jenn Parr, Health & Happiness Coach",Long Beach,90803,33.76151151,-118.1374898,3
Sacred Healing Sessions,Long Beach,90802,33.76935425,-118.1845288,2
Brain Gangster,Long Beach,90802,33.76935425,-118.1845288,2
Prenatal Education Center,Cypress,90630,33.82014302,-118.0398097,1
Alice Maples Coaching,Santa Monica,90405,34.01013273,-118.4726766,2
Awakening Mother,Santa Monica,90405,34.01013273,-118.4726766,2
Courtnay Meletta,Santa Monica,90404,34.02784297,-118.4747187,1
Manuela Schoepfer,Santa Monica,90403,34.02842086,-118.4935369,2
Stress Away,Santa Monica,90403,34.02842086,-118.4935369,2
Clear Gardens Yoga Studio,Inglewood,90302,33.973752,-118.357686,1
Kasey Kilmer Fitness,Playa Del Rey,90293,33.95744085,-118.4391679,1
Divine Self Love,Marina Del Rey,90292,33.98163384,-118.4511079,7
Pure Light Wellness,Marina Del Rey,90292,33.98163384,-118.4511079,7
Yoga of Touch With Marci Javril,Marina Del Rey,90292,33.98163384,-118.4511079,7
"Judith S Daniels, DPT C-IAYT",Marina Del Rey,90292,33.98163384,-118.4511079,7
Sivananda Yoga Vedanta Center,Marina Del Rey,90292,33.98163384,-118.4511079,7
Angel Najarian,Marina Del Rey,90292,33.98163384,-118.4511079,7
CorePower Yoga,Marina Del Rey,90292,33.98163384,-118.4511079,7
Miss Mermaid,Venice,90291,33.99258325,-118.4663763,4
One Infinity Healing,Venice,90291,33.99258325,-118.4663763,4
