Census Tract,Neighborhood,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
101110,Tujunga,34.2595555,-118.293602,4314.0,40.6,53077.0,26996.0,679.0,15.74,3.85
101122,Tujunga,34.267357000000004,-118.29024,3239.0,52.3,88953.0,46974.0,109.0,3.37,2.9
101210,Tujunga,34.251998,-118.2926875,6052.0,36.6,32119.0,19902.0,1994.0,32.95,5.3
101220,Tujunga,34.2511895,-118.28101399999998,3497.0,39.7,41728.0,21844.0,524.0,14.98,3.77
101300,Tujunga,34.2455945,-118.271731,4297.0,49.7,86914.0,35120.0,391.0,9.1,2.91
101400,Tujunga,34.244254999999995,-118.296428,3851.0,44.4,71125.0,34799.0,321.0,8.34,3.9
102103,Shadow Hills,34.224154999999996,-118.354339,1771.0,45.8,76333.0,37500.0,156.0,8.81,4.69
102104,Shadow Hills,34.216189,-118.34562350000002,3554.0,41.1,70754.0,34131.0,423.0,11.9,5.26
102105,Sun Valley,34.210852,-118.34804950000002,1857.0,40.7,52132.0,24355.0,322.0,17.34,5.33
102107,Shadow Hills,34.2412955,-118.3292705,4333.0,44.8,106037.0,36130.0,332.0,7.66,3.16
103101,Sunland,34.274431,-118.30713999999999,2597.0,46.5,89211.0,35961.0,183.0,7.05,3.5
103102,Sunland,34.262834000000005,-118.30683,4456.0,44.1,74631.0,32143.0,245.0,5.5,3.82
103200,Lake View Terrace,34.2745565,-118.34390249999998,6726.0,46.0,71346.0,32375.0,994.0,14.78,1.34
103300,Shadow Hills,34.255439,-118.35277749999999,3549.0,49.4,93207.0,48386.0,173.0,4.87,1.92
103400,Sunland,34.253933,-118.31472450000001,6662.0,46.7,81618.0,38328.0,928.0,13.93,2.07
104103,Lake View Terrace,34.281904499999996,-118.3918905,3647.0,37.0,86989.0,22767.0,274.0,7.51,0.8
104105,Pacoima,34.276146000000004,-118.404645,6190.0,34.1,52616.0,21302.0,1402.0,22.65,4.26
104108,Pacoima,34.271671000000005,-118.39761399999999,5420.0,33.3,50259.0,18405.0,856.0,15.79,4.26
104124,Lopez/Kagel Canyons,34.287865999999994,-118.376208,4189.0,38.3,84250.0,32266.0,321.0,7.66,2.32
104201,Pacoima,34.2867415,-118.41608049999999,4424.0,33.4,51563.0,14851.0,1075.0,24.3,2.85
104203,Pacoima,34.279058,-118.41155400000001,5541.0,32.9,46406.0,14331.0,1376.0,24.83,4.26
104204,Lake View Terrace,34.2886315,-118.396898,3562.0,36.4,63333.0,18052.0,486.0,13.64,3.51
104310,Pacoima,34.2762555,-118.42939150000001,5313.0,30.4,69904.0,18399.0,669.0,12.59,2.6
104320,Pacoima,34.27316,-118.4202235,5599.0,31.0,52895.0,17433.0,1331.0,23.77,6.36
104401,Pacoima,34.2670615,-118.433071,3452.0,31.3,69965.0,16758.0,683.0,19.79,3.74
104403,Pacoima,34.258908500000004,-118.4345385,3279.0,34.5,55398.0,15408.0,654.0,19.95,4.21
104404,Pacoima,34.263920500000005,-118.4286915,3128.0,29.4,55341.0,15335.0,814.0,26.02,2.43
104500,Pacoima,34.25551,-118.42574850000001,2950.0,34.1,60139.0,14574.0,682.0,23.12,1.69
104610,Pacoima,34.260433500000005,-118.41899550000001,3504.0,32.8,60320.0,15233.0,588.0,16.78,2.48
104620,Pacoima,34.257904499999995,-118.42246499999999,3684.0,30.8,62014.0,16580.0,337.0,9.15,2.77
104701,Pacoima,34.268476,-118.4152165,4325.0,26.1,32036.0,10106.0,1445.0,33.41,5.16
104703,Pacoima,34.2551165,-118.399872,2311.0,28.6,39181.0,15544.0,721.0,31.2,3.25
104704,Pacoima,34.262515500000006,-118.40884150000001,4331.0,32.5,48581.0,20014.0,1092.0,25.21,2.38
104810,Pacoima,34.2502955,-118.411179,5789.0,36.4,74145.0,17969.0,861.0,14.87,2.44
104821,Pacoima,34.246570500000004,-118.416294,3361.0,30.5,68750.0,19261.0,672.0,19.99,4.43
104822,Pacoima,34.245882,-118.4209225,2748.0,34.0,55500.0,16046.0,564.0,20.52,2.44
106010,Sylmar,34.3231715,-118.444538,3108.0,40.1,71806.0,27672.0,527.0,16.96,2.45
106020,Sylmar,34.320427,-118.428524,5807.0,39.5,75038.0,23921.0,789.0,13.59,3.05
106111,Sylmar,34.3231945,-118.40879950000001,4482.0,38.7,93198.0,31805.0,343.0,7.65,2.66
106112,Sylmar,34.305005,-118.414298,5885.0,34.1,90875.0,27474.0,394.0,6.69,1.89
106113,Sylmar,34.3062,-118.42203,3962.0,40.1,85156.0,28554.0,190.0,4.8,1.94
106114,Sylmar,34.302675,-118.426951,6410.0,29.1,54363.0,17942.0,1053.0,16.43,3.4
106403,Sylmar,34.306005,-118.44128799999999,3431.0,34.3,62015.0,18699.0,173.0,5.04,2.45
106405,Sylmar,34.3146865,-118.44830900000001,4813.0,34.8,57807.0,17726.0,1509.0,31.35,3.03
106406,Sylmar,34.321542,-118.4587415,5860.0,35.5,77454.0,27460.0,322.0,5.49,1.59
106407,Sylmar,34.3105765,-118.4365505,3272.0,30.7,37452.0,17080.0,723.0,22.1,2.29
106408,Sylmar,34.3132585,-118.440082,3817.0,28.4,49464.0,17035.0,580.0,15.2,2.52
106510,Sylmar,34.3236325,-118.48602450000001,5347.0,38.1,91983.0,29633.0,272.0,5.09,2.0
106520,Sylmar,34.308856,-118.4613605,5879.0,33.1,63594.0,20708.0,986.0,16.77,0.73
106603,Granada Hills,34.3189225,-118.5218285,3222.0,42.6,114688.0,43384.0,98.0,3.04,2.05
106604,Sylmar,34.3042795,-118.47424699999999,5143.0,32.2,58028.0,18398.0,1379.0,26.81,1.73
106641,Granada Hills,34.298025,-118.509153,2352.0,47.2,108333.0,54519.0,63.0,2.68,2.21
106642,Granada Hills,34.2863475,-118.50845249999999,3016.0,44.9,106179.0,51905.0,164.0,5.44,4.34
106643,Granada Hills,34.289784000000004,-118.52471100000001,4599.0,44.3,151875.0,57897.0,78.0,1.7,3.48
106645,Granada Hills,34.2905125,-118.4928915,3491.0,50.1,110946.0,46542.0,276.0,7.91,3.98
106646,Granada Hills,34.2790905,-118.49412450000001,3439.0,47.6,105750.0,35571.0,157.0,4.57,2.85
106648,Sylmar,34.293406,-118.4556035,4569.0,30.0,65278.0,18279.0,1013.0,22.17,1.05
106649,Sylmar,34.288747,-118.4611105,2599.0,39.1,82841.0,27924.0,257.0,9.89,1.81
107010,Sylmar,34.302027,-118.446501,3093.0,31.6,56375.0,17719.0,453.0,14.65,4.91
107020,Sylmar,34.2975345,-118.4503905,5442.0,29.7,81935.0,24083.0,351.0,6.45,1.98
108101,Porter Ranch,34.280038,-118.54137150000001,2417.0,46.6,141893.0,52219.0,182.0,7.53,2.85
108102,Porter Ranch,34.280795,-118.55492,3677.0,51.3,95592.0,39175.0,357.0,9.71,3.13
108103,Porter Ranch,34.2860705,-118.54289299999999,3153.0,50.7,159643.0,61291.0,87.0,2.76,0.7
108104,Porter Ranch,34.2939525,-118.5470515,1922.0,46.2,130714.0,46436.0,151.0,7.86,1.04
108201,Porter Ranch,34.2857885,-118.562083,5501.0,45.1,125000.0,51412.0,112.0,2.04,1.98
108202,Chatsworth,34.288396,-118.581814,7561.0,44.8,108304.0,53477.0,331.0,4.38,2.78
109100,Mission Hills,34.278731,-118.4610295,2738.0,43.9,59792.0,26663.0,117.0,4.27,2.89
109200,Granada Hills,34.2786785,-118.474608,2995.0,40.2,112250.0,42324.0,60.0,2.0,2.2
109300,Granada Hills,34.272521000000005,-118.47951499999999,3247.0,40.7,84919.0,32198.0,210.0,6.47,5.48
109400,Mission Hills,34.269881,-118.4552825,3959.0,39.1,77273.0,23954.0,302.0,7.63,1.94
109500,San Fernando,34.274035999999995,-118.4444575,4821.0,30.5,44118.0,12692.0,1076.0,22.32,2.72
113237,Chatsworth,34.2451855,-118.61257450000001,4145.0,43.8,82821.0,42826.0,301.0,7.26,4.85
109601,Mission Hills,34.2582765,-118.45036699999999,4938.0,38.8,92545.0,27219.0,297.0,6.01,4.78
109603,Mission Hills,34.253651500000004,-118.465415,4476.0,37.7,53750.0,21835.0,921.0,20.58,4.65
109604,Mission Hills,34.2615535,-118.465347,3088.0,33.7,88000.0,27536.0,216.0,6.99,5.12
109700,Granada Hills,34.263394,-118.48102150000001,4568.0,36.9,98605.0,31224.0,411.0,9.0,5.36
109800,North Hills,34.253753499999995,-118.48181699999999,5398.0,36.7,96422.0,29808.0,644.0,11.93,2.0
111100,Granada Hills,34.2683575,-118.4946735,3128.0,40.6,86683.0,30515.0,251.0,8.02,4.06
111201,Granada Hills,34.275028999999996,-118.50855,3485.0,43.5,85034.0,38104.0,242.0,6.94,3.7
111202,Granada Hills,34.2683485,-118.51515649999999,5329.0,42.8,80521.0,29975.0,193.0,3.62,3.75
111204,Porter Ranch,34.262049499999996,-118.54904850000001,6153.0,49.2,150192.0,56178.0,108.0,1.76,2.34
111205,Northridge,34.253636,-118.53582649999998,4064.0,35.5,76968.0,37069.0,230.0,5.66,3.37
111206,Porter Ranch,34.2676425,-118.5361955,4382.0,47.1,114861.0,55282.0,189.0,4.31,2.85
