Census Tract,Neighborhood,Latitude,Longitude
101110,Tujunga,34.2595555,-118.293602
101122,Tujunga,34.267357,-118.29024
101210,Tujunga,34.251998,-118.2926875
101220,Tujunga,34.2511895,-118.281014
101300,Tujunga,34.2455945,-118.271731
101400,Tujunga,34.244255,-118.296428
102103,Shadow Hills,34.224155,-118.354339
102104,Shadow Hills,34.216189,-118.3456235
102105,Sun Valley,34.210852,-118.3480495
102107,Shadow Hills,34.2412955,-118.3292705
103101,Sunland,34.274431,-118.30714
103102,Sunland,34.262834,-118.30683
103200,Lake View Terrace,34.2745565,-118.3439025
103300,Shadow Hills,34.255439,-118.3527775
103400,Sunland,34.253933,-118.3147245
104103,Lake View Terrace,34.2819045,-118.3918905
104105,Pacoima,34.276146,-118.404645
104108,Pacoima,34.271671,-118.397614
104124,Lopez/Kagel Canyons,34.287866,-118.376208
104201,Pacoima,34.2867415,-118.4160805
104203,Pacoima,34.279058,-118.411554
104204,Lake View Terrace,34.2886315,-118.396898
104310,Pacoima,34.2762555,-118.4293915
104320,Pacoima,34.27316,-118.4202235
104401,Pacoima,34.2670615,-118.433071
104403,Pacoima,34.2589085,-118.4345385
104404,Pacoima,34.2639205,-118.4286915
104500,Pacoima,34.25551,-118.4257485
104610,Pacoima,34.2604335,-118.4189955
104620,Pacoima,34.2579045,-118.422465
104701,Pacoima,34.268476,-118.4152165
104703,Pacoima,34.2551165,-118.399872
104704,Pacoima,34.2625155,-118.4088415
104810,Pacoima,34.2502955,-118.411179
104821,Pacoima,34.2465705,-118.416294
104822,Pacoima,34.245882,-118.4209225
106010,Sylmar,34.3231715,-118.444538
106020,Sylmar,34.320427,-118.428524
106111,Sylmar,34.3231945,-118.4087995
106112,Sylmar,34.305005,-118.414298
106113,Sylmar,34.3062,-118.42203
106114,Sylmar,34.302675,-118.426951
106403,Sylmar,34.306005,-118.441288
106405,Sylmar,34.3146865,-118.448309
106406,Sylmar,34.321542,-118.4587415
106407,Sylmar,34.3105765,-118.4365505
106408,Sylmar,34.3132585,-118.440082
106510,Sylmar,34.3236325,-118.4860245
106520,Sylmar,34.308856,-118.4613605
106603,Granada Hills,34.3189225,-118.5218285
106604,Sylmar,34.3042795,-118.474247
106641,Granada Hills,34.298025,-118.509153
106642,Granada Hills,34.2863475,-118.5084525
106643,Granada Hills,34.289784,-118.524711
106645,Granada Hills,34.2905125,-118.4928915
106646,Granada Hills,34.2790905,-118.4941245
106648,Sylmar,34.293406,-118.4556035
106649,Sylmar,34.288747,-118.4611105
107010,Sylmar,34.302027,-118.446501
107020,Sylmar,34.2975345,-118.4503905
108101,Porter Ranch,34.280038,-118.5413715
108102,Porter Ranch,34.280795,-118.55492
108103,Porter Ranch,34.2860705,-118.542893
108104,Porter Ranch,34.2939525,-118.5470515
108201,Porter Ranch,34.2857885,-118.562083
108202,Chatsworth,34.288396,-118.581814
109100,Mission Hills,34.278731,-118.4610295
109200,Granada Hills,34.2786785,-118.474608
109300,Granada Hills,34.272521,-118.479515
109400,Mission Hills,34.269881,-118.4552825
109500,San Fernando,34.274036,-118.4444575
113237,Chatsworth,34.2451855,-118.6125745
109601,Mission Hills,34.2582765,-118.450367
109603,Mission Hills,34.2536515,-118.465415
109604,Mission Hills,34.2615535,-118.465347
109700,Granada Hills,34.263394,-118.4810215
109800,North Hills,34.2537535,-118.481817
111100,Granada Hills,34.2683575,-118.4946735
111201,Granada Hills,34.275029,-118.50855
111202,Granada Hills,34.2683485,-118.5151565
111204,Porter Ranch,34.2620495,-118.5490485
111205,Northridge,34.253636,-118.5358265
111206,Porter Ranch,34.2676425,-118.5361955
111301,Granada Hills,34.2610855,-118.5158815
111302,Northridge,34.2539425,-118.512829
111400,Granada Hills,34.257483,-118.495412
113101,Chatsworth,34.265338,-118.5882575
113102,Chatsworth,34.265325,-118.568068
113211,Chatsworth,34.2635755,-118.611966
113212,Chatsworth,34.2608605,-118.6035245
113213,Chatsworth,34.2535965,-118.608218
113231,Chatsworth Reservoir,34.2282065,-118.645614
113232,West Hills,34.227417,-118.61402
113233,Canoga Park,34.2275575,-118.6017175
113234,Canoga Park,34.227624,-118.59227
113235,Chatsworth,34.2373915,-118.6488335
113301,Northridge,34.2448005,-118.5590895
113303,Chatsworth,34.2420235,-118.5801645
113321,Chatsworth,34.25361,-118.5913535
113322,Chatsworth,34.253622,-118.571362
113401,Winnetka,34.2279845,-118.562301
113421,Winnetka,34.234694,-118.5826685
113422,Winnetka,34.224085,-118.5821745
115101,Northridge,34.239435,-118.5112365
115103,Northridge,34.246414,-118.528551
115104,Northridge,34.2395005,-118.523595
115201,Northridge,34.244559,-118.537408
115202,Northridge,34.2338575,-118.537507
115301,Northridge,34.240482,-118.545339
115302,Northridge,34.226401,-118.5498615
115401,Northridge,34.2247565,-118.5149735
115403,Northridge,34.22481,-118.5317135
115404,Northridge,34.2257645,-118.5412445
117101,North Hills,34.2391215,-118.4617905
