ZIP Code,Studio,City,Location
90028,Set and Flow,Los Angeles,"34.10072174800007, -118.32821815499994"
90036,Modo Yoga LA - La Brea,Los Angeles,"34.06892065300008, -118.35080783799998"
90034,Red Diamond Yoga,Los Angeles,"34.028290507000065, -118.40269589399998"
90029,One Down Dog,Los Angeles,"34.08989399500007, -118.29490934199998"
90039,The Raven Spa,Los Angeles,"34.11160164200004, -118.26125727499999"
90019,Liberation Yoga,Los Angeles,"34.04884238300008, -118.33610868499994"
90012,Sanctuary Fitness - DTLA Arts District,Los Angeles,"34.05948330100006, -118.24204800499996"
90021,LA Boulders,Los Angeles,"34.030124099000034, -118.24177861499999"
90019,Evolve Dance Studio,Los Angeles,"34.04884238300008, -118.33610868499994"
90013,Yoga Circle Downtown,Los Angeles,"34.04602247400004, -118.24624962599995"
90027,Siesta Yoga,Los Angeles,"34.10546214900006, -118.29236751399998"
90048,Psycho,Los Angeles,"34.073161378000066, -118.37406665299994"
90004,dr pilates,Los Angeles,"34.075720587000035, -118.30301712299996"
90039,Rise Hot Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90039,Heartbeat House,Los Angeles,"34.11160164200004, -118.26125727499999"
90028,Wanderlust Hollywood,Los Angeles,"34.10072174800007, -118.32821815499994"
90028,Sweatheory,Los Angeles,"34.10072174800007, -118.32821815499994"
90015,Peace Yoga Gallery,Los Angeles,"34.04012195700005, -118.26498963499995"
90038,Urban 728 Yoga,Los Angeles,"34.088981543000045, -118.32483773999996"
90026,Modo Yoga LA - East,Los Angeles,"34.07687201300007, -118.26535895999996"
91401,Wellborn Lifestyles & Doula Services,Van Nuys,"34.181152145000055, -118.43482720999998"
90018,Radha Yoga,Los Angeles,"34.030771505000075, -118.31686899999994"
90042,Namaste Highland Park,Los Angeles,"34.11332226400003, -118.19142869099994"
90039,Silverlake Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90026,Yogala Echo Park,Los Angeles,"34.07687201300007, -118.26535895999996"
90013,The Main Barre,Los Angeles,"34.04602247400004, -118.24624962599995"
90094,Sweat Yoga,Playa Vista,"33.97293079200006, -118.42532902699998"
90008,Dee Dussault - Ganja Yoga & Sex Coaching,Los Angeles,"34.01097131500006, -118.34158773599995"
90012,Sweat Yoga Little Tokyo,Los Angeles,"34.05948330100006, -118.24204800499996"
90012,Bikram Yoga,Los Angeles,"34.05948330100006, -118.24204800499996"
90014,Evoke Yoga,Los Angeles,"34.04475373200006, -118.25273671899998"
90027,Yoga Vibe,Los Angeles,"34.10546214900006, -118.29236751399998"
90041,One Down Dog,Los Angeles,"34.13538185700003, -118.20684911599994"
90021,The Bridge Mind Body Movement,Los Angeles,"34.030124099000034, -118.24177861499999"
90027,"Zen Wellness: Dr. Bobbi Jones, DC & Dr. Mary Ames Brown, DC",Los Angeles,"34.10546214900006, -118.29236751399998"
90017,Houston Heller- LMT,Los Angeles,"34.05230100700004, -118.26338632699998"
90026,The Sweat Spot,Los Angeles,"34.07687201300007, -118.26535895999996"
90045,Yoga Bliss - Westchester,Los Angeles,"33.961520807000056, -118.39344972199996"
90066,Garth Hewitt,Los Angeles,"34.00215095400006, -118.42903966199998"
90065,EVERYBODY,Los Angeles,"34.10881214900007, -118.22766603699995"
90048,Jun Chong Tae Kwon Do,Los Angeles,"34.073161378000066, -118.37406665299994"
90048,AIR Aerial Fitness,Los Angeles,"34.073161378000066, -118.37406665299994"
90035,Doula Mellie,Los Angeles,"34.054282330000035, -118.38385594999994"
9001,D&A Flying Yoga,Los Angeles,"34.06139075900006, -118.30969974099997"
90025,Soul Pump Fitness,Los Angeles,"34.045183888000054, -118.45025632399995"
90066,MOMS AT OM,Los Angeles,"34.00215095400006, -118.42903966199998"
91602,Marti Maley,North Hollywood,"34.15134106200003, -118.36907858599994"
90043,Crenshaw Yoga & Dance,Los Angeles,"33.986730529000056, -118.33290641499997"
9021,BACH,Beverly Hills,"34.08553160900004, -118.40426878599999"
90065,Claire Thompson,Los Angeles,"34.10881214900007, -118.22766603699995"
90027,CrossFit Mindset,Los Angeles,"34.10546214900006, -118.29236751399998"
90005,Hot 8 Yoga,Los Angeles,"34.05907052600003, -118.30301712299996"
90026,Echo Park Boxing,Los Angeles,"34.07687201300007, -118.26535895999996"
90047,The Tree South LA,Los Angeles,"33.95687165100003, -118.30907840499998"
90039,Still Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90026,Samarasa Center,Los Angeles,"34.07687201300007, -118.26535895999996"
90039,Fitmix Studio Atwater Village,Los Angeles,"34.11160164200004, -118.26125727499999"
90019,Chloe Massage Spa,Los Angeles,"34.04884238300008, -118.33610868499994"
90035,Yoga West,Los Angeles,"34.054282330000035, -118.38385594999994"
90035,Nicole Doherty,Los Angeles,"34.054282330000035, -118.38385594999994"
90069,Nine Treasures Yoga,West Hollywood,"34.08940300900008, -118.37978902499998"
90036,H2yOga,Los Angeles,"34.06892065300008, -118.35080783799998"
90211,Hot 8 Yoga,Beverly Hills,"34.06566189900008, -118.38146619699995"
90232,Cliffs of Id,Culver City,"34.01970043100005, -118.39595678999996"
90291,Miss Mermaid,Venice,"33.99258325100004, -118.46637629399999"
90066,Light on Lotus Yoga,Los Angeles,"34.00215095400006, -118.42903966199998"
90013,LaLaLå! Jivamukti Yoga Los Angeles,Los Angeles,"34.04602247400004, -118.24624962599995"
90016,Vrkira Yoga,Los Angeles,"34.028881427000044, -118.35308896599997"
90041,Mockingbird Yoga,Los Angeles,"34.13538185700003, -118.20684911599994"
90041,The Cycling Pigeon,Los Angeles,"34.13538185700003, -118.20684911599994"
90026,One Down Dog,Los Angeles,"34.07687201300007, -118.26535895999996"
90046,Moon Yogi Holistic Healing,Los Angeles,"34.097150154000076, -118.35826821299997"
90038,Aeriform Arts,Los Angeles,"34.088981543000045, -118.32483773999996"
90069,Yoga by Rony,West Hollywood,"34.08940300900008, -118.37978902499998"
90046,The Barboza Method,Los Angeles,"34.097150154000076, -118.35826821299997"
90027,Hiking Yoga,Los Angeles,"34.10546214900006, -118.29236751399998"
90019,Balance Work Yoga and Massage,Los Angeles,"34.04884238300008, -118.33610868499994"
90046,Brick Los Angeles,Los Angeles,"34.097150154000076, -118.35826821299997"
90039,Atwater Kundalini Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90013,The Mystic Rebel Healing Collective,Los Angeles,"34.04602247400004, -118.24624962599995"
90035,Iyengar Yoga Institute of Los Angeles,Los Angeles,"34.054282330000035, -118.38385594999994"
90064,Yoga Shala West,Los Angeles,"34.03541197100003, -118.43217675599999"
90064,Pilates Essence,Los Angeles,"34.03541197100003, -118.43217675599999"
90232,Veda Yoga Center,Culver City,"34.01970043100005, -118.39595678999996"
90211,Namastday Yoga,Beverly Hills,"34.06566189900008, -118.38146619699995"
90065,Self Realization Fellowship,Los Angeles,"34.10881214900007, -118.22766603699995"
90046,Runyon Canyon Yoga,Los Angeles,"34.097150154000076, -118.35826821299997"
90232,SoulPlay Yoga,Culver City,"34.01970043100005, -118.39595678999996"
91604,YogiNest,Studio City,"34.144462919000034, -118.39427961799998"
90012,Sultan Yoga,Los Angeles,"34.05948330100006, -118.24204800499996"
90041,Madre Fitness + Wellness,Los Angeles,"34.13538185700003, -118.20684911599994"
90232,Ma Yoga Culver City - WMN Space,Culver City,"34.01970043100005, -118.39595678999996"
90015,Fit2fly Mobile Personal Training,Los Angeles,"34.04012195700005, -118.26498963499995"
90069,AuraYoga,West Hollywood,"34.08940300900008, -118.37978902499998"
91203,Sync Yoga + Cycle,Glendale,"34.15282270900008, -118.26132679499995"
9023,Evolution Physical Therapy,Culver City,"33.99506425000004, -118.39500957899998"
90046,Black Market Yoga,Los Angeles,"34.097150154000076, -118.35826821299997"
90232,Zooga Yoga For Kids - Culver City,Culver City,"34.01970043100005, -118.39595678999996"
90016,Dharma Yoga L.A.,Los Angeles,"34.028881427000044, -118.35308896599997"
90069,Zooga Yoga - West Hollywood,West Hollywood,"34.08940300900008, -118.37978902499998"
